n1, n2, n3, alg, wt_c1, tat_c1, wt_c2, tat_c2, wt_c3, tat_c3,
100, 100000, 100, RR, 0.012, 154.917, 279.045, 581.256, 263.848, 379.616, 
100, 100000, 1000, RR, 0.030, 154.414, 273.718, 580.771, 266.482, 368.684, 
100, 100000, 10000, RR, 0.013, 122.551, 232.151, 536.151, 223.561, 332.270, 
100, 100000, 100000, RR, 0.013, 110.228, 218.654, 541.342, 212.906, 314.572, 
100, 100000, 1000000, RR, 0.016, 127.619, 329.020, 632.479, 329.650, 530.207, 
100, 1000000, 10, RR, 0.021, 109.780, 415.153, 3252.834, 212.304, 318.525, 
100, 1000000, 100, RR, 0.013, 110.472, 399.711, 3139.563, 214.604, 331.678, 
100, 1000000, 1000, RR, 0.015, 117.654, 447.305, 3168.577, 232.184, 361.156, 
100, 1000000, 10000, RR, 0.015, 121.908, 447.913, 3063.537, 225.832, 326.606, 
100, 1000000, 100000, RR, 0.014, 180.306, 561.539, 3395.466, 289.770, 407.503, 
100, 1000000, 1000000, RR, 0.016, 134.082, 532.424, 3367.214, 359.398, 561.943, 
1000, 10, 10, RR, 0.033, 123.406, 123.442, 226.114, 226.121, 327.483, 
1000, 10, 100, RR, 0.015, 109.566, 109.574, 222.547, 222.554, 323.349, 
1000, 10, 1000, RR, 0.017, 129.349, 129.383, 235.688, 235.694, 339.559, 
1000, 10, 10000, RR, 0.017, 131.202, 131.211, 233.876, 233.883, 338.324, 
1000, 10, 100000, RR, 0.013, 141.591, 141.596, 260.416, 260.423, 360.713, 
1000, 10, 1000000, RR, 0.023, 127.510, 127.515, 228.590, 234.249, 455.053, 
1000, 100, 10, RR, 0.056, 193.917, 193.922, 361.441, 361.447, 462.862, 
1000, 100, 100, RR, 0.016, 150.561, 150.571, 252.466, 252.473, 368.940, 
1000, 100, 1000, RR, 0.014, 161.535, 161.570, 265.362, 265.369, 366.454, 
1000, 100, 10000, RR, 0.014, 122.794, 122.799, 224.262, 224.268, 326.198, 
1000, 100, 100000, RR, 0.016, 117.847, 117.858, 222.356, 222.362, 348.611, 
1000, 100, 1000000, RR, 0.016, 113.696, 113.715, 217.842, 217.902, 418.805, 
1000, 1000, 10, RR, 0.013, 133.391, 133.397, 344.906, 344.912, 446.477, 
1000, 1000, 100, RR, 0.047, 130.673, 130.698, 231.728, 231.734, 346.887, 
1000, 1000, 1000, RR, 0.026, 132.560, 132.572, 233.706, 233.712, 341.694, 
1000, 1000, 10000, RR, 0.015, 116.649, 116.730, 217.417, 217.424, 333.495, 
1000, 1000, 100000, RR, 0.048, 148.483, 148.494, 252.039, 252.045, 368.589, 
1000, 1000, 1000000, RR, 0.150, 144.773, 144.783, 247.274, 255.625, 468.063, 
1000, 10000, 10, RR, 0.052, 115.783, 115.793, 216.454, 216.464, 317.395, 
1000, 10000, 100, RR, 0.016, 114.768, 114.773, 214.981, 214.987, 318.411, 
1000, 10000, 1000, RR, 0.017, 107.515, 107.526, 207.838, 207.844, 331.492, 
1000, 10000, 10000, RR, 0.015, 117.434, 117.444, 218.219, 218.225, 321.227, 
1000, 10000, 100000, RR, 0.015, 110.024, 110.029, 210.740, 210.746, 311.438, 
1000, 10000, 1000000, RR, 0.057, 110.140, 110.165, 210.697, 218.162, 423.729, 
1000, 100000, 10, RR, 0.016, 136.519, 243.806, 549.057, 240.564, 341.138, 
1000, 100000, 100, RR, 0.034, 132.187, 283.633, 587.610, 235.284, 373.187, 
1000, 100000, 1000, RR, 0.018, 135.893, 288.224, 608.561, 244.610, 375.510, 
1000, 100000, 10000, RR, 0.015, 134.182, 247.687, 552.194, 241.924, 342.984, 
1000, 100000, 100000, RR, 0.029, 178.518, 284.074, 588.775, 282.834, 384.678, 
1000, 100000, 1000000, RR, 0.015, 138.451, 388.258, 690.241, 363.396, 588.790, 
1000, 1000000, 10, RR, 0.015, 144.222, 420.916, 3354.207, 244.432, 346.315, 
1000, 1000000, 100, RR, 0.016, 131.819, 502.921, 3323.534, 238.027, 347.240, 
1000, 1000000, 1000, RR, 0.032, 219.121, 541.541, 3385.595, 319.425, 420.068, 
1000, 1000000, 10000, RR, 0.017, 115.956, 438.843, 3177.254, 225.405, 329.418, 
1000, 1000000, 100000, RR, 0.015, 163.092, 539.999, 3171.377, 263.463, 382.896, 
1000, 1000000, 1000000, RR, 0.015, 135.544, 482.235, 3316.417, 371.034, 578.073, 
10000, 10, 10, RR, 0.014, 112.412, 112.418, 213.232, 213.238, 314.363, 
10000, 10, 100, RR, 0.013, 127.534, 127.539, 227.856, 227.862, 375.707, 
10000, 10, 1000, RR, 0.021, 114.660, 114.666, 214.883, 214.889, 327.496, 
10000, 10, 10000, RR, 0.013, 159.039, 159.044, 276.001, 276.007, 376.235, 
10000, 10, 100000, RR, 0.017, 109.730, 109.736, 211.992, 211.998, 315.980, 
10000, 10, 1000000, RR, 0.021, 139.484, 139.490, 252.796, 253.800, 463.479, 
10000, 100, 10, RR, 0.016, 109.567, 109.584, 219.651, 219.657, 327.437, 
10000, 100, 100, RR, 0.014, 114.774, 114.792, 222.091, 222.097, 327.106, 
10000, 100, 1000, RR, 0.040, 122.807, 122.820, 227.243, 227.249, 347.062, 
10000, 100, 10000, RR, 0.015, 119.040, 119.067, 220.177, 220.183, 320.933, 
10000, 100, 100000, RR, 0.015, 124.176, 124.187, 225.008, 225.014, 336.346, 
10000, 100, 1000000, RR, 0.015, 110.622, 110.627, 211.119, 211.176, 412.435, 
10000, 1000, 10, RR, 0.015, 123.180, 123.191, 223.559, 223.565, 324.465, 
10000, 1000, 100, RR, 0.015, 120.510, 120.515, 221.617, 221.622, 339.981, 
10000, 1000, 1000, RR, 0.017, 113.173, 113.184, 226.142, 226.148, 326.569, 
10000, 1000, 10000, RR, 0.017, 119.610, 119.619, 220.348, 220.354, 321.228, 
10000, 1000, 100000, RR, 0.013, 110.324, 110.335, 210.915, 210.922, 319.234, 
10000, 1000, 1000000, RR, 0.013, 145.296, 145.306, 256.996, 257.063, 458.526, 
10000, 10000, 10, RR, 0.028, 123.143, 123.149, 224.133, 224.139, 324.365, 
10000, 10000, 100, RR, 0.012, 142.529, 142.540, 262.385, 262.392, 425.580, 
10000, 10000, 1000, RR, 0.020, 112.773, 112.785, 213.561, 213.567, 314.261, 
10000, 10000, 10000, RR, 0.015, 112.545, 112.553, 212.985, 212.991, 313.383, 
10000, 10000, 100000, RR, 0.012, 113.861, 113.866, 221.363, 221.369, 322.435, 
10000, 10000, 1000000, RR, 0.024, 110.847, 110.853, 215.010, 215.095, 416.465, 
10000, 100000, 10, RR, 0.013, 117.493, 242.070, 543.381, 241.147, 342.214, 
10000, 100000, 100, RR, 0.014, 121.193, 235.398, 544.628, 236.114, 336.657, 
10000, 100000, 1000, RR, 0.015, 176.491, 312.571, 619.280, 286.301, 400.600, 
10000, 100000, 10000, RR, 0.017, 149.772, 253.774, 556.240, 253.175, 353.921, 
10000, 100000, 100000, RR, 0.028, 120.625, 240.591, 542.814, 236.632, 337.684, 
10000, 100000, 1000000, RR, 0.014, 139.510, 389.067, 690.917, 367.354, 590.551, 
10000, 1000000, 10, RR, 0.027, 130.056, 470.440, 3220.353, 230.381, 336.657, 
10000, 1000000, 100, RR, 0.013, 122.922, 484.609, 3233.499, 230.207, 330.512, 
10000, 1000000, 1000, RR, 0.014, 153.244, 456.134, 3185.703, 253.487, 356.030, 
10000, 1000000, 10000, RR, 0.016, 125.597, 379.569, 3208.285, 228.864, 330.182, 
10000, 1000000, 100000, RR, 0.013, 138.840, 491.408, 3244.834, 248.909, 366.938, 
10000, 1000000, 1000000, RR, 0.016, 138.031, 586.695, 3421.933, 360.392, 594.492, 
100000, 10, 10, RR, 0.017, 126.766, 126.956, 227.754, 227.760, 331.734, 
100000, 10, 100, RR, 0.043, 115.550, 115.555, 223.405, 223.411, 330.752, 
100000, 10, 1000, RR, 0.016, 117.328, 117.340, 218.321, 218.327, 320.837, 
100000, 10, 10000, RR, 0.018, 124.366, 124.371, 230.989, 230.995, 332.142, 
100000, 10, 100000, RR, 0.024, 144.481, 144.505, 323.509, 323.515, 424.345, 
100000, 10, 1000000, RR, 0.031, 181.520, 181.545, 282.660, 292.670, 494.771, 
100000, 100, 10, RR, 0.015, 120.822, 120.898, 223.741, 223.748, 332.208, 
100000, 100, 100, RR, 0.014, 165.930, 165.962, 268.902, 268.908, 381.042, 
100000, 100, 1000, RR, 0.014, 122.546, 122.581, 286.325, 286.331, 387.495, 
100000, 100, 10000, RR, 0.016, 113.856, 113.866, 221.767, 221.773, 324.490, 
100000, 100, 100000, RR, 0.016, 116.578, 116.604, 218.593, 218.600, 333.731, 
100000, 100, 1000000, RR, 0.082, 109.607, 109.612, 215.999, 222.605, 426.657, 
100000, 1000, 10, RR, 0.027, 121.223, 121.249, 230.669, 230.676, 335.560, 
100000, 1000, 100, RR, 0.015, 212.059, 212.093, 312.383, 312.390, 418.392, 
100000, 1000, 1000, RR, 0.034, 151.907, 151.912, 258.409, 258.416, 358.883, 
100000, 1000, 10000, RR, 0.033, 124.189, 124.227, 228.588, 228.595, 343.076, 
100000, 1000, 100000, RR, 0.015, 108.301, 108.306, 221.953, 221.962, 346.692, 
100000, 1000, 1000000, RR, 0.015, 118.528, 118.541, 254.441, 254.447, 379.010, 
100000, 10000, 10, RR, 0.015, 128.299, 128.327, 231.189, 231.195, 333.790, 
100000, 10000, 100, RR, 0.023, 129.122, 129.136, 232.672, 232.741, 340.252, 
100000, 10000, 1000, RR, 0.015, 144.491, 144.518, 248.499, 248.505, 365.894, 
100000, 10000, 10000, RR, 0.018, 111.953, 111.988, 213.872, 213.881, 316.041, 
100000, 10000, 100000, RR, 0.015, 113.813, 113.840, 214.983, 214.989, 318.026, 
100000, 10000, 1000000, RR, 0.037, 124.416, 124.422, 243.784, 245.737, 454.788, 
100000, 100000, 10, RR, 0.013, 112.958, 220.618, 523.128, 219.747, 320.383, 
100000, 100000, 100, RR, 0.015, 110.289, 238.162, 539.836, 224.528, 332.818, 
100000, 100000, 1000, RR, 0.017, 122.503, 232.425, 533.895, 222.734, 323.254, 
100000, 100000, 10000, RR, 0.014, 115.472, 241.622, 566.489, 221.706, 331.211, 
100000, 100000, 100000, RR, 0.018, 112.665, 231.485, 534.781, 220.647, 320.906, 
100000, 100000, 1000000, RR, 0.038, 164.699, 396.217, 702.974, 399.904, 600.477, 
100000, 1000000, 10, RR, 0.016, 121.073, 413.018, 3240.399, 221.318, 337.590, 
