n1, n2, n3, alg, wt_c1, tat_c1, wt_c2, tat_c2, wt_c3, tat_c3,
10, 10, 10, RR, 0.020, 21.551, 21.573, 35.882, 35.886, 46.986, 
10, 10, 10, FCFS, 0.041, 29.960, 30.007, 30.416, 30.418, 30.656, 
10, 10, 100, RR, 0.018, 32.062, 32.071, 47.088, 47.094, 53.058, 
10, 10, 100, FCFS, 0.023, 6.734, 6.769, 30.152, 30.175, 30.666, 
10, 10, 1000, RR, 0.016, 26.007, 26.012, 37.197, 37.205, 43.252, 
10, 10, 1000, FCFS, 0.042, 23.458, 23.462, 30.373, 30.376, 30.774, 
10, 10, 10000, RR, 0.017, 38.875, 38.903, 50.607, 50.620, 56.043, 
10, 10, 10000, FCFS, 0.064, 44.176, 44.182, 44.614, 44.617, 45.940, 
10, 10, 100000, RR, 0.035, 27.655, 27.694, 33.246, 44.188, 64.382, 
10, 10, 100000, FCFS, 0.036, 14.237, 14.241, 28.076, 28.083, 58.454, 
10, 10, 1000000, RR, 0.017, 31.840, 31.844, 41.518, 95.193, 243.163, 
10, 10, 1000000, FCFS, 0.024, 31.691, 31.694, 34.719, 34.738, 159.045, 
10, 100, 10, RR, 0.014, 25.115, 25.123, 44.265, 44.297, 49.944, 
10, 100, 10, FCFS, 0.023, 38.929, 38.933, 39.908, 39.914, 40.157, 
10, 100, 100, RR, 0.015, 28.302, 28.325, 40.997, 41.003, 46.433, 
10, 100, 100, FCFS, 0.021, 19.568, 19.572, 32.475, 32.495, 32.819, 
10, 100, 1000, RR, 1.054, 21.810, 21.859, 53.695, 53.722, 59.378, 
10, 100, 1000, FCFS, 0.084, 27.612, 27.634, 38.084, 38.087, 38.405, 
10, 100, 10000, RR, 0.042, 38.575, 38.581, 43.740, 43.744, 49.461, 
10, 100, 10000, FCFS, 0.024, 31.797, 31.801, 32.644, 32.646, 33.900, 
10, 100, 100000, RR, 0.038, 13.368, 13.393, 19.985, 23.485, 47.714, 
10, 100, 100000, FCFS, 0.062, 27.249, 27.270, 28.224, 28.226, 48.873, 
10, 100, 1000000, RR, 0.119, 38.547, 38.576, 44.168, 94.699, 227.395, 
10, 100, 1000000, FCFS, 0.040, 33.671, 33.674, 51.974, 51.977, 183.553, 
10, 1000, 10, RR, 0.016, 24.098, 31.005, 55.339, 49.073, 55.236, 
10, 1000, 10, FCFS, 0.053, 28.280, 28.285, 30.908, 30.911, 31.954, 
10, 1000, 100, RR, 0.075, 33.074, 33.084, 47.790, 47.797, 57.661, 
10, 1000, 100, FCFS, 0.053, 24.971, 24.975, 47.055, 47.059, 47.468, 
10, 1000, 1000, RR, 0.028, 36.591, 36.599, 42.317, 42.345, 51.813, 
10, 1000, 1000, FCFS, 0.028, 29.210, 29.213, 51.590, 51.594, 58.238, 
10, 1000, 10000, RR, 0.037, 49.229, 49.233, 54.985, 55.015, 67.042, 
10, 1000, 10000, FCFS, 0.047, 17.770, 17.780, 28.346, 28.350, 36.676, 
10, 1000, 100000, RR, 0.057, 39.500, 39.506, 45.022, 46.784, 58.512, 
10, 1000, 100000, FCFS, 0.071, 34.347, 34.355, 67.897, 67.901, 92.693, 
10, 1000, 1000000, RR, 0.023, 19.891, 19.899, 56.169, 88.150, 222.157, 
10, 1000, 1000000, FCFS, 0.034, 34.951, 34.955, 41.181, 41.184, 179.884, 
10, 10000, 10, RR, 0.017, 17.896, 41.869, 68.296, 23.397, 37.278, 
10, 10000, 10, FCFS, 0.038, 20.007, 20.030, 102.668, 102.675, 112.808, 
10, 10000, 100, RR, 0.122, 27.685, 38.735, 68.102, 32.921, 39.472, 
10, 10000, 100, FCFS, 0.035, 40.593, 40.599, 108.386, 108.412, 108.822, 
10, 10000, 1000, RR, 0.049, 30.136, 42.359, 83.372, 53.755, 59.519, 
10, 10000, 1000, FCFS, 0.033, 27.104, 27.111, 106.501, 106.507, 106.830, 
10, 10000, 10000, RR, 0.064, 34.622, 47.999, 85.958, 41.686, 49.447, 
10, 10000, 10000, FCFS, 0.044, 18.637, 18.641, 136.423, 136.426, 138.025, 
10, 10000, 100000, RR, 0.034, 19.723, 42.233, 75.929, 37.784, 59.718, 
10, 10000, 100000, FCFS, 0.031, 13.501, 13.508, 60.928, 60.937, 78.236, 
10, 10000, 1000000, RR, 0.035, 35.385, 70.505, 95.323, 107.520, 252.753, 
10, 10000, 1000000, FCFS, 0.046, 12.604, 12.609, 140.433, 140.440, 281.496, 
10, 100000, 10, RR, 0.042, 28.364, 138.248, 333.173, 34.225, 47.310, 
10, 100000, 10, FCFS, 0.022, 29.586, 29.590, 1225.244, 1225.273, 1230.231, 
10, 100000, 100, RR, 0.022, 37.147, 175.578, 391.347, 50.031, 59.494, 
10, 100000, 100, FCFS, 0.049, 23.468, 23.474, 1113.145, 1113.156, 1113.916, 
10, 100000, 1000, RR, 0.017, 38.424, 162.839, 403.600, 58.603, 65.971, 
10, 100000, 1000, FCFS, 0.025, 32.846, 32.853, 1176.785, 1176.791, 1177.260, 
10, 100000, 10000, RR, 0.036, 44.217, 141.882, 401.535, 49.586, 64.166, 
10, 100000, 10000, FCFS, 0.026, 29.791, 29.794, 1092.733, 1092.759, 1094.526, 
10, 100000, 100000, RR, 0.016, 50.291, 187.454, 413.422, 87.149, 103.751, 
10, 100000, 100000, FCFS, 0.019, 25.172, 25.180, 1116.009, 1116.035, 1133.680, 
10, 100000, 1000000, RR, 0.016, 40.698, 345.184, 591.704, 344.913, 499.125, 
10, 100000, 1000000, FCFS, 0.019, 27.686, 27.721, 1134.377, 1134.384, 1301.544, 
10, 1000000, 10, RR, 0.017, 30.918, 357.865, 9435.421, 47.868, 53.825, 
10, 1000000, 10, FCFS, 0.024, 29.069, 29.073, 11180.681, 11180.692, 11181.116, 
10, 1000000, 100, RR, 0.016, 30.459, 1404.764, 3451.149, 40.786, 47.031, 
