n1, n2, n3, alg, wt_c1, tat_c1, wt_c2, tat_c2, wt_c3, tat_c3,
10, 1000000, 10, RR, 0.020, 16.627, 1369.775, 3327.091, 21.758, 29.202, 
10, 1000000, 10, FCFS, 0.021, 34.901, 34.905, 11671.491, 11671.495, 11674.728, 
10, 1000000, 100, RR, 0.032, 32.603, 1404.587, 3370.084, 57.334, 67.676, 
10, 1000000, 100, FCFS, 0.018, 34.026, 34.033, 11313.992, 11314.012, 11314.556, 
10, 1000000, 1000, RR, 0.018, 33.580, 1212.813, 3310.471, 38.829, 45.114, 
10, 1000000, 1000, FCFS, 0.024, 21.065, 21.068, 10992.421, 10992.426, 10992.970, 
10, 1000000, 10000, RR, 0.018, 41.671, 1188.745, 3230.647, 54.005, 61.751, 
10, 1000000, 10000, FCFS, 0.025, 37.792, 37.814, 10841.799, 10841.807, 10843.712, 
10, 1000000, 100000, RR, 0.018, 52.104, 1379.270, 3436.256, 78.794, 94.688, 
10, 1000000, 100000, FCFS, 0.037, 20.515, 20.522, 11011.087, 11011.090, 11022.838, 
10, 1000000, 1000000, RR, 0.023, 58.763, 1565.562, 3569.528, 260.278, 396.957, 
10, 1000000, 1000000, FCFS, 0.017, 23.382, 23.385, 10868.932, 10868.935, 11000.305, 
100, 10, 10, RR, 0.014, 20.406, 20.409, 44.044, 44.051, 49.401, 
100, 10, 10, FCFS, 0.022, 37.288, 37.292, 37.551, 37.576, 37.825, 
100, 10, 100, RR, 0.015, 27.567, 27.572, 46.686, 46.698, 51.886, 
100, 10, 100, FCFS, 0.030, 15.515, 15.526, 28.270, 28.275, 28.532, 
100, 10, 1000, RR, 0.033, 41.656, 41.665, 52.281, 52.307, 57.941, 
100, 10, 1000, FCFS, 0.089, 21.449, 21.471, 32.710, 32.726, 33.019, 
100, 10, 10000, RR, 0.049, 37.425, 37.450, 48.314, 48.337, 56.234, 
100, 10, 10000, FCFS, 0.024, 11.764, 11.766, 12.441, 12.446, 27.365, 
100, 10, 100000, RR, 0.022, 27.541, 27.547, 33.396, 41.147, 51.531, 
100, 10, 100000, FCFS, 0.020, 20.318, 20.323, 50.358, 50.362, 76.234, 
100, 10, 1000000, RR, 0.017, 21.767, 21.776, 32.804, 84.567, 216.110, 
100, 10, 1000000, FCFS, 0.037, 20.517, 20.520, 29.937, 29.941, 161.830, 
100, 100, 10, RR, 0.060, 24.138, 24.141, 39.453, 39.482, 49.455, 
100, 100, 10, FCFS, 0.047, 18.638, 27.189, 35.211, 35.233, 35.582, 
100, 100, 100, RR, 0.014, 37.478, 44.604, 55.454, 42.831, 49.730, 
100, 100, 100, FCFS, 0.052, 25.352, 25.373, 32.127, 32.147, 34.405, 
100, 100, 1000, RR, 0.016, 24.179, 24.188, 47.894, 47.922, 55.604, 
100, 100, 1000, FCFS, 0.041, 12.166, 12.173, 29.847, 29.852, 32.104, 
100, 100, 10000, RR, 0.036, 36.172, 36.180, 42.518, 42.526, 49.351, 
100, 100, 10000, FCFS, 0.039, 27.412, 27.420, 29.171, 29.173, 33.093, 
100, 100, 100000, RR, 0.057, 33.083, 33.087, 39.784, 49.498, 65.563, 
100, 100, 100000, FCFS, 0.032, 25.571, 25.580, 28.550, 28.575, 53.603, 
100, 100, 1000000, RR, 0.030, 18.514, 18.534, 27.672, 49.490, 196.099, 
100, 100, 1000000, FCFS, 0.034, 19.222, 19.228, 50.597, 50.621, 192.601, 
100, 1000, 10, RR, 0.015, 28.243, 28.266, 35.870, 35.892, 44.404, 
100, 1000, 10, FCFS, 0.065, 34.822, 34.843, 64.624, 64.630, 65.184, 
100, 1000, 100, RR, 0.026, 25.904, 25.909, 31.549, 31.577, 39.463, 
100, 1000, 100, FCFS, 0.037, 21.721, 21.728, 53.605, 53.609, 53.910, 
100, 1000, 1000, RR, 0.027, 21.142, 38.383, 55.777, 34.242, 43.670, 
100, 1000, 1000, FCFS, 0.028, 16.269, 16.274, 33.826, 33.846, 34.125, 
100, 1000, 10000, RR, 0.055, 20.489, 20.498, 27.500, 27.525, 35.354, 
100, 1000, 10000, FCFS, 0.027, 23.921, 23.926, 54.157, 54.163, 55.618, 
100, 1000, 100000, RR, 0.073, 27.312, 27.321, 38.952, 39.550, 58.012, 
100, 1000, 100000, FCFS, 0.069, 21.198, 21.222, 38.006, 38.011, 61.318, 
100, 1000, 1000000, RR, 0.017, 35.242, 35.273, 44.175, 91.977, 222.792, 
100, 1000, 1000000, FCFS, 0.026, 33.081, 33.087, 51.197, 51.218, 188.157, 
100, 10000, 10, RR, 0.023, 25.353, 49.261, 87.373, 46.611, 52.102, 
100, 10000, 10, FCFS, 0.038, 26.849, 26.870, 132.618, 132.628, 132.951, 
100, 10000, 100, RR, 0.024, 25.351, 46.130, 64.390, 31.655, 51.128, 
100, 10000, 100, FCFS, 0.022, 34.290, 34.296, 106.138, 106.145, 106.456, 
100, 10000, 1000, RR, 0.023, 46.435, 56.340, 77.537, 56.693, 62.671, 
100, 10000, 1000, FCFS, 0.021, 42.763, 42.768, 130.053, 130.057, 130.402, 
100, 10000, 10000, RR, 0.018, 44.306, 53.485, 87.660, 50.166, 58.529, 
100, 10000, 10000, FCFS, 0.023, 27.928, 27.938, 66.720, 66.723, 68.001, 
100, 10000, 100000, RR, 0.015, 27.061, 56.257, 79.610, 51.898, 73.842, 
100, 10000, 100000, FCFS, 0.053, 36.513, 36.516, 188.054, 188.062, 216.620, 
100, 10000, 1000000, RR, 0.066, 12.071, 33.417, 75.612, 82.094, 226.179, 
100, 10000, 1000000, FCFS, 0.023, 28.780, 28.790, 215.066, 215.092, 354.071, 
100, 100000, 10, RR, 0.024, 23.087, 163.964, 351.870, 39.746, 45.478, 
100, 100000, 10, FCFS, 0.047, 20.850, 20.853, 1238.004, 1238.009, 1238.592, 
100, 100000, 100, RR, 0.033, 17.726, 172.079, 383.974, 55.634, 61.449, 
100, 100000, 100, FCFS, 0.023, 16.383, 16.392, 1156.031, 1156.053, 1163.089, 
100, 100000, 1000, RR, 0.079, 13.514, 130.863, 357.042, 38.245, 43.980, 
100, 100000, 1000, FCFS, 0.038, 33.256, 33.264, 926.243, 926.249, 926.805, 
100, 100000, 10000, RR, 0.028, 42.082, 157.565, 390.191, 54.101, 59.785, 
100, 100000, 10000, FCFS, 0.029, 28.525, 28.531, 1151.311, 1151.315, 1159.399, 
100, 100000, 100000, RR, 0.027, 17.885, 149.539, 348.248, 62.419, 86.631, 
100, 100000, 100000, FCFS, 0.017, 9.571, 9.578, 1059.248, 1059.250, 1080.673, 
100, 100000, 1000000, RR, 0.047, 53.444, 305.403, 492.244, 263.996, 406.450, 
100, 100000, 1000000, FCFS, 0.026, 35.562, 35.565, 1004.389, 1004.413, 1145.305, 
100, 1000000, 10, RR, 0.045, 35.559, 1302.076, 3286.870, 50.058, 58.036, 
100, 1000000, 10, FCFS, 0.018, 42.218, 42.227, 10887.600, 10887.604, 10887.958, 
100, 1000000, 100, RR, 0.012, 40.755, 1313.872, 3403.443, 53.341, 59.164, 
